"EMISION","CUPON","EMISOR","NOMBRE EMISOR","CUSIP_EMISOR","CUSIPEMISION","countrydomicile","vencimiento","INDUSTRIA","CODIGO INDUSTRIA","FECHA EMISION","PRECIO EMISION","YIELD","TIPO CUPON","convertible","foreign_currency","PRINCIPAL","perpetual","Campo19","Campo20","Campo21","Campo22","Campo23","Campo24","Campo25","Campo26","Campo27","Campo28","Campo29"
"71362","6","2007","HEINZ H J CO","423074","AG8","USA","2008-03-15 00:00:00","1","10","1998-03-20 00:00:00","99.337","6.089","F","N","N","1000","N","","","","","","","","","","",""
"72550","6.25","4481","WELLS FARGO & CO","949740","CD4","USA","2008-04-15 00:00:00","2","20","1998-04-15 00:00:00","100","6.25","F","N","N","1000","N","","","","","","","","","","",""
"75744","6.875","4108","TIME WARNER INC","887315","AY5","USA","2018-06-15 00:00:00","1","15","1998-06-03 00:00:00","98.906","6.883","F","N","N","1000","N","","","","","","","","","","",""
"79527","4.9","34216","PENNZOIL CO","25179M","AA1","USA","2008-08-15 00:00:00","1","12","1998-06-30 00:00:00","","","F","N","N","1000","N","","","","","","","","","","",""
"79580","4.95","34216","PENNZOIL CO","25179M","AB9","USA","2008-08-15 00:00:00","1","12","1998-06-30 00:00:00","","","F","N","N","1000","N","","","","","","","","","","",""
"80792","5.4","41","ABBOTT LABS","002824","AK6","USA","2008-09-15 00:00:00","1","10","1998-09-10 00:00:00","99.801","5.426","F","N","N","1000","N","","","","","","","","","","",""
"81488","5.4","2226","INTERNATIONAL BUSINESS MACHS CORP","45920Q","BM5","USA","2008-10-01 00:00:00","1","10","1998-09-24 00:00:00","99.535","5.461","F","N","N","1000","N","","","","","","","","","","",""
"81491","5.35","2653","MCDONALDS CORP","58013M","DF8","USA","2008-09-15 00:00:00","1","15","1998-09-23 00:00:00","99.446","5.422","F","N","N","1000","N","","","","","","","","","","",""
"84969","6.625","4108","TIME WARNER INC","887315","BN8","USA","2029-05-15 00:00:00","1","15","1998-11-18 00:00:00","99.059","6.698","F","N","N","1000","N","","","","","","","","","","",""
"85117","5.95","2692","MERCK & CO INC","589331","AE7","USA","2028-12-01 00:00:00","1","10","1998-11-23 00:00:00","99.17","6.01","F","N","N","1000","N","","","","","","","","","","",""
"86439","5.8","1664","FORD MTR CR CO","345397","SG9","USA","2009-01-12 00:00:00","2","21","1999-01-06 00:00:00","99.662","5.845","F","N","N","1000","N","","","","","","","","","","",""
"86779","5.5","2226","INTERNATIONAL BUSINESS MACHS CORP","45920Q","BX1","USA","2009-01-15 00:00:00","1","10","1999-01-12 00:00:00","99.242","5.60002","F","N","N","1000","N","","","","","","","","","","",""
"87461","5.375","2226","INTERNATIONAL BUSINESS MACHS CORP","459200","AT8","USA","2009-02-01 00:00:00","1","10","1999-01-27 00:00:00","99.923","5.385","F","N","N","1000","N","","","","","","","","","","",""
"93018","7.35","1664","FORD MTR CR CO","345402","X63","USA","2012-05-15 00:00:00","2","21","1997-05-06 00:00:00","100","7.35","F","N","N","1000","N","","","","","","","","","","",""
"94135","6.65","33695","GOLDMAN SACHS GROUP INC","38141G","AA2","USA","2009-05-15 00:00:00","2","22","1999-05-12 00:00:00","99.799","6.67773","F","N","N","1000","N","","","","","","","","","","",""
